Ti,Ti_prime,To,a
31.066,21.343,-4.6,10000
21.343,26.55,-5.6,0
26.55,26.256,-6.6,6000
26.256,29.745,-7,6000
29.745,20.024,-7.3,10000
20.024,29.059,-7.8,0
29.059,29.175,-7.5,10000
29.175,29.127,-7.3,10000
29.127,29.031,-7.1,10000
29.031,29.026,-7,10000
29.026,25.269,-7,6000
25.269,28.845,-7.1,6000
28.845,24.993,-7.3,10000
24.993,24.766,-7.5,6000
24.766,28.414,-7.8,6000
28.414,24.737,-7.6,10000
24.737,28.414,-7.6,6000
28.414,28.422,-7.8,10000
28.422,18.989,-8.1,10000
18.989,28.07,-8.3,0
28.07,28.252,-8.8,10000
28.252,24.602,-9.1,10000
24.602,24.544,-9.5,6000
24.544,28.155,-10,6000
28.155,18.564,-10.6,10000
18.564,23.866,-11.3,0
23.866,23.721,-12.1,6000
23.721,27.448,-12.5,6000
27.448,17.875,-12.8,10000
17.875,27.155,-13.3,0
27.155,27.361,-13.3,10000
27.361,27.504,-13.6,10000
27.504,27.501,-13.8,10000
27.501,27.3,-14.1,10000
27.3,23.35,-14.5,6000
23.35,26.77,-15,6000
26.77,22.709,-16.2,10000
22.709,22.11,-17.5,6000
22.11,25.468,-18.8,6000
25.468,21.47,-19.7,10000
21.47,24.796,-20.7,6000
24.796,24.76,-21.7,10000
24.76,15.308,-21.6,10000
15.308,24.231,-21.6,0
24.231,24.562,-21.7,10000
24.562,21.042,-21.2,10000
21.042,21.221,-20.8,6000
21.221,24.976,-20.6,6000
24.976,15.456,-21,10000
15.456,20.526,-21.6,0
20.526,20.224,-22.2,6000
20.224,23.58,-22.7,6000
23.58,13.935,-23.6,10000
13.935,22.866,-24.3,0
22.866,22.743,-25.1,10000
22.743,22.442,-25.7,10000
22.442,22.235,-26.7,10000
22.235,22.176,-27.1,10000
22.176,18.247,-27.7,6000
18.247,21.912,-28.2,6000
21.912,18.143,-28.2,10000
18.143,18.074,-28.2,6000
18.074,21.548,-28.2,6000
21.548,17.567,-29,10000
17.567,20.907,-29.7,6000
20.907,21.276,-30.6,10000
21.276,12.201,-28.3,10000
12.201,21.879,-26.3,0
21.879,22.337,-24.3,10000
22.337,18.858,-23.3,10000
18.858,19.05,-22.5,6000
19.05,22.893,-21.7,6000
22.893,13.338,-22,10000
13.338,18.694,-22.2,0
18.694,18.495,-22.7,6000
18.495,22.106,-23.1,6000
22.106,12.395,-23.3,10000
12.395,21.621,-23.8,0
21.621,21.754,-22.7,10000
21.754,21.803,-21.6,10000
21.803,22.258,-20.6,10000
22.258,22.785,-18.2,10000
22.785,19.449,-16,6000
19.449,23.474,-13.8,6000
23.474,19.815,-12.8,10000
19.815,19.855,-11.8,6000
19.855,24.159,-11.1,6000
24.159,20.812,-9.1,10000
20.812,25.042,-7.3,6000
25.042,25.318,-5.5,10000
25.318,15.885,-3,10000
15.885,25.487,-0.6,0
25.487,25.868,1.7,10000
25.868,22.324,1.5,10000
22.324,22.444,1.2,6000
22.444,26.398,1.1,6000
26.398,16.859,0.4,10000
16.859,22.467,-0.3,0
22.467,22.45,-1.1,6000
22.45,26.339,-1.6,6000
26.339,16.609,-2,10000
16.609,25.982,-2.7,0
25.982,26.113,-2.2,10000
26.113,26.096,-2,10000
26.096,25.849,-1.7,10000
25.849,25.524,-4,10000
25.524,21.364,-6.4,6000
21.364,25.073,-8.8,6000
25.073,21.405,-9.1,10000
21.405,21.347,-9.5,6000
21.347,25.246,-10,6000
25.246,21.497,-10.1,10000
21.497,25.328,-10.3,6000
25.328,25.652,-10.6,10000
25.652,16.271,-9.6,10000
16.271,25.946,-8.6,0
25.946,26.59,-7.8,10000
26.59,23.319,-6.5,10000
23.319,23.724,-5.4,6000
23.724,27.578,-4.4,6000
27.578,17.624,-6.5,10000
17.624,22.843,-8.8,0
22.843,22.538,-11.1,6000
22.538,26.147,-11.6,6000
26.147,16.297,-12.1,10000
16.297,25.662,-12.8,0
25.662,25.815,-12.6,10000
25.815,25.817,-12.6,10000
25.817,25.883,-12.8,10000
25.883,25.932,-12.6,10000
25.932,21.967,-12.6,6000
21.967,25.696,-12.8,6000
25.696,21.873,-12.5,10000
21.873,21.77,-12.3,6000
21.77,25.475,-12.1,6000
25.475,21.684,-12.3,10000
21.684,25.318,-12.5,6000
25.318,25.665,-12.8,10000
25.665,16.417,-11.3,10000
