index,temp out,temp in
     615.0,     -12.0,      37.0
     616.0,     -12.0,      38.0
     617.0,     -12.0,      39.0
     618.0,     -12.0,      40.0
     619.0,     -12.0,      41.0
     620.0,     -12.0,      42.0
     621.0,     -12.0,      43.0
     622.0,     -12.0,      44.0
     623.0,     -12.0,      45.0
     624.0,     -12.0,      46.0
     625.0,     -12.0,      47.0
     626.0,     -12.0,      48.0
     627.0,     -12.0,      49.0
     628.0,     -12.0,      50.0
     629.0,     -12.0,      51.0
     630.0,     -12.0,      52.0
     631.0,     -12.0,      53.0
     632.0,     -12.0,      54.0
     633.0,     -12.0,      55.0
     634.0,     -12.0,      56.0
     635.0,     -12.0,      57.0
     636.0,     -11.0,       5.0
     637.0,     -11.0,       6.0
     638.0,     -11.0,       7.0
     639.0,     -11.0,       8.0
     640.0,     -11.0,       9.0
     641.0,     -11.0,      10.0
     642.0,     -11.0,      11.0
     643.0,     -11.0,      12.0
     644.0,     -11.0,      13.0
     645.0,     -11.0,      14.0
     646.0,     -11.0,      15.0
     647.0,     -11.0,      16.0
     648.0,     -11.0,      17.0
     649.0,     -11.0,      18.0
     650.0,     -11.0,      19.0
     651.0,     -11.0,      20.0
     652.0,     -11.0,      21.0
     653.0,     -11.0,      22.0
     654.0,     -11.0,      23.0
     655.0,     -11.0,      24.0
     656.0,     -11.0,      25.0
     657.0,     -11.0,      26.0
     658.0,     -11.0,      27.0
     659.0,     -11.0,      28.0
     660.0,     -11.0,      29.0
     661.0,     -11.0,      30.0
     662.0,     -11.0,      31.0
     663.0,     -11.0,      32.0
     664.0,     -11.0,      33.0
     665.0,     -11.0,      34.0
     666.0,     -11.0,      35.0
     667.0,     -11.0,      36.0
     668.0,     -11.0,      37.0
     669.0,     -11.0,      38.0
     670.0,     -11.0,      39.0
     671.0,     -11.0,      40.0
     672.0,     -11.0,      41.0
     673.0,     -11.0,      42.0
     674.0,     -11.0,      43.0
     675.0,     -11.0,      44.0
     676.0,     -11.0,      45.0
     677.0,     -11.0,      46.0
     678.0,     -11.0,      47.0
     679.0,     -11.0,      48.0
     680.0,     -11.0,      49.0
     681.0,     -11.0,      50.0
     682.0,     -11.0,      51.0
     683.0,     -11.0,      52.0
     684.0,     -11.0,      53.0
     685.0,     -11.0,      54.0
     686.0,     -11.0,      55.0
     687.0,     -11.0,      56.0
     688.0,     -11.0,      57.0
     689.0,     -10.0,       5.0
     690.0,     -10.0,       6.0
     691.0,     -10.0,       7.0
     692.0,     -10.0,       8.0
     693.0,     -10.0,       9.0
     694.0,     -10.0,      10.0
     695.0,     -10.0,      11.0
     696.0,     -10.0,      12.0
     697.0,     -10.0,      13.0
     698.0,     -10.0,      14.0
     699.0,     -10.0,      15.0
     700.0,     -10.0,      16.0
     701.0,     -10.0,      17.0
     702.0,     -10.0,      18.0
     703.0,     -10.0,      19.0
     704.0,     -10.0,      20.0
     705.0,     -10.0,      21.0
     706.0,     -10.0,      22.0
     707.0,     -10.0,      23.0
     708.0,     -10.0,      24.0
     709.0,     -10.0,      25.0
     710.0,     -10.0,      26.0
     711.0,     -10.0,      27.0
     712.0,     -10.0,      28.0
     713.0,     -10.0,      29.0
     714.0,     -10.0,      30.0
     715.0,     -10.0,      31.0
     716.0,     -10.0,      32.0
     717.0,     -10.0,      33.0
     718.0,     -10.0,      34.0
     719.0,     -10.0,      35.0
     720.0,     -10.0,      36.0
     721.0,     -10.0,      37.0
     722.0,     -10.0,      38.0
     723.0,     -10.0,      39.0
     724.0,     -10.0,      40.0
     725.0,     -10.0,      41.0
     726.0,     -10.0,      42.0
     727.0,     -10.0,      43.0
     728.0,     -10.0,      44.0
     729.0,     -10.0,      45.0
     730.0,     -10.0,      46.0
     731.0,     -10.0,      47.0
     732.0,     -10.0,      48.0
     733.0,     -10.0,      49.0
     734.0,     -10.0,      50.0
     735.0,     -10.0,      51.0
     736.0,     -10.0,      52.0
     737.0,     -10.0,      53.0
     738.0,     -10.0,      54.0
     739.0,     -10.0,      55.0
     740.0,     -10.0,      56.0
     741.0,     -10.0,      57.0
     742.0,      -9.0,       5.0
     743.0,      -9.0,       6.0
     744.0,      -9.0,       7.0
     745.0,      -9.0,       8.0
     746.0,      -9.0,       9.0
     747.0,      -9.0,      10.0
     748.0,      -9.0,      11.0
     749.0,      -9.0,      12.0
     750.0,      -9.0,      13.0
     751.0,      -9.0,      14.0
     752.0,      -9.0,      15.0
     753.0,      -9.0,      16.0
     754.0,      -9.0,      17.0
     755.0,      -9.0,      18.0
     756.0,      -9.0,      19.0
     757.0,      -9.0,      20.0
     758.0,      -9.0,      21.0
     759.0,      -9.0,      22.0
     760.0,      -9.0,      23.0
     761.0,      -9.0,      24.0
     762.0,      -9.0,      25.0
     763.0,      -9.0,      26.0
     764.0,      -9.0,      27.0
     765.0,      -9.0,      28.0
     766.0,      -9.0,      29.0
     767.0,      -9.0,      30.0
     768.0,      -9.0,      31.0
     769.0,      -9.0,      32.0
     770.0,      -9.0,      33.0
     771.0,      -9.0,      34.0
     772.0,      -9.0,      35.0
     773.0,      -9.0,      36.0
     774.0,      -9.0,      37.0
     775.0,      -9.0,      38.0
     776.0,      -9.0,      39.0
     777.0,      -9.0,      40.0
     778.0,      -9.0,      41.0
     779.0,      -9.0,      42.0
     780.0,      -9.0,      43.0
     781.0,      -9.0,      44.0
     782.0,      -9.0,      45.0
     783.0,      -9.0,      46.0
     784.0,      -9.0,      47.0
     785.0,      -9.0,      48.0
     786.0,      -9.0,      49.0
     787.0,      -9.0,      50.0
     788.0,      -9.0,      51.0
     789.0,      -9.0,      52.0
     790.0,      -9.0,      53.0
     791.0,      -9.0,      54.0
     792.0,      -9.0,      55.0
     793.0,      -9.0,      56.0
     794.0,      -9.0,      57.0
     795.0,      -8.0,       5.0
     796.0,      -8.0,       6.0
     797.0,      -8.0,       7.0
     798.0,      -8.0,       8.0
     799.0,      -8.0,       9.0
     800.0,      -8.0,      10.0
     801.0,      -8.0,      11.0
     802.0,      -8.0,      12.0
     803.0,      -8.0,      13.0
     804.0,      -8.0,      14.0
     805.0,      -8.0,      15.0
     806.0,      -8.0,      16.0
     807.0,      -8.0,      17.0
     808.0,      -8.0,      18.0
     809.0,      -8.0,      19.0
     810.0,      -8.0,      20.0
     811.0,      -8.0,      21.0
     812.0,      -8.0,      22.0
     813.0,      -8.0,      23.0
     814.0,      -8.0,      24.0
     815.0,      -8.0,      25.0
     816.0,      -8.0,      26.0
     817.0,      -8.0,      27.0
     818.0,      -8.0,      28.0
     819.0,      -8.0,      29.0
     820.0,      -8.0,      30.0
     821.0,      -8.0,      31.0
     822.0,      -8.0,      32.0
     823.0,      -8.0,      33.0
     824.0,      -8.0,      34.0
     825.0,      -8.0,      35.0
     826.0,      -8.0,      36.0
     827.0,      -8.0,      37.0
     828.0,      -8.0,      38.0
     829.0,      -8.0,      39.0
     830.0,      -8.0,      40.0
     831.0,      -8.0,      41.0
     832.0,      -8.0,      42.0
     833.0,      -8.0,      43.0
     834.0,      -8.0,      44.0
     835.0,      -8.0,      45.0
     836.0,      -8.0,      46.0
     837.0,      -8.0,      47.0
     838.0,      -8.0,      48.0
     839.0,      -8.0,      49.0
     840.0,      -8.0,      50.0
     841.0,      -8.0,      51.0
     842.0,      -8.0,      52.0
     843.0,      -8.0,      53.0
